1900G340                                                                            New Jersey                                                                      340          717022   734763   224738   207146   941760   941909    67035     1846    24185    10555   107400    60516   160332    19479   244285    62126    13511     3520    59307    10320     9882  1883669  1883669
1900G355                                                                            New Mexico Territory                                                            355           95616    86069     8612     5013   104228    91082    26273      941     1648      470    16108     3370     7008      200     8673     1329    32532     1993     4397     8049      271   195310   195310
1900G360                                                                            New York                                                                        360         2651815  2716654   962965   937460  3614780  3654114   363619    12371   107689    51704   407834   265540   656970    96190   788317   246240    29188    18162   258423    12327     9180  7268894  7268894
1900G370                                                                            North Carolina                                                                  370          935883   953435     2794     1698   938677   955133   385187    74119    10270     4742    52794    55439    41321     1936    67009    23925   175325      320      262   210344   208132  1893810  1893810
1900G380                                                                            North Dakota                                                                    380          110987    95068    66506    46585   177493   141653    69849     1777     2850     2102     9234     8049    13359      701     8256     1463      279      784     8432     3224       31   319146   319146
1900G390                                                                            Ohio                                                                            390         1855372  1843439   247283   211451  2102655  2054890   399909    14753    52113    25007   207041    99392   249936    33996   390882    72923    56416    10739    50155    14231    14107  4157545  4157545
1900G405                                                                            Oklahoma Territory                                                              405          204859   177792     9500     6180   214359   183972    91513     3418     3672     1539     8641     3547    10827      709     7785     1044     5788      491     1268     8227     3628   398331   398331
1900G410                                                                            Oregon                                                                          410          187495   160293    45490    20258   232985   180551    56930     1560     6680     3366    29249     7485    26298     2434    32043     3592     1745      435     2207     6299       89   413536   413536
1900G420                                                                            Pennsylvania                                                                    420         2650543  2666322   553998   431252  3204541  3097574   331119    10593    70674    32337   391121   175050   402016    52830   822122   160727    71384    15988   191706    20298    19532  6302115  6302115
1900G440                                                                            Rhode Island                                                                    440          144340   149697    66176    68343   210516   218040    10673      284     4924     2937    21342    13558    31512     5531    71378    29784     1196     2518    24157     1133     1063   428556   428556
1900G450                                                                            South Carolina                                                                  450          661610   673178     3285     2243   664895   675421   278614   115079     6836     3595    33732    45063    27794     1551    42669    16062    54177      198      344   283940   283883  1340316  1340316
1900G460                                                                            South Dakota                                                                    460          165038   148024    51126    37382   216164   185406    80696     2161     4322     3555     9743     7078    14322      952    12429     1898      432      772     5835     7793       51   401570   401570
1900G470                                                                            Tennessee                                                                       470         1010793   992077    10431     7315  1021224   999392   379443    33963    16452     5783    71842    60939    73993     4092    69653    11427   156342     1054     1690   147844   147784  2020616  2020616
1900G480                                                                            Texas                                                                           480         1476525  1392828   102375    76982  1578900  1469810   585394    59240    29175    11032   101821    54592   106498     5114    69753    10414    70006    25000    51481   167531   167138  3048710  3048710
1900G490                                                                            Utah                                                                            490          114014   108958    27673    26104   141687   135062    28401     1013     3235     1432    11497     4519    12735     1360    17972     2440      648      460     3167     1866       37   276749   276749
1900G500                                                                            Vermont                                                                         500          150582   148312    24556    20191   175138   168503    48352     1468     3645     3371    12842    10186    17238     1651    30104     6076     3231     3703     9205      108       99   343641   343641
1900G510                                                                            Virginia                                                                        510          913511   921212    12386     7075   925897   928287   277594    22674    13632     7732    82188    74408    69761     4205    93708    16513    95583      534     2043   213960   213836  1854184  1854184
1900G530                                                                            Washington                                                                      530          228184   178555    75994    35370   304178   213925    59159     1954     8926     3566    40685     8956    40460     2725    55376     3580      978      396     4546     6820      259   518103   518103
1900G540                                                                            West Virginia                                                                   540          485018   451331    14224     8227   499242   459558   146142     5580     8527     3187    41145    15107    36016     2168    62672     5119    63008     1273     4730    11094    11083   958800   958800
1900G550                                                                            Wisconsin                                                                       550          784937   768134   282625   233346  1067562  1001480   261450     8557    17931    14335    97314    51177    92869    12391   146827    29687     3689    10300    56396     3394      250  2069042  2069042
1900G560                                                                            Wyoming                                                                         560           45769    29347    12415     5000    58184    34347    13177      230     1079      530     8821     1494     9074      249     9113      501      257       91     1349     1181      141    92531    92531
1900G999                                                                            Persons in the Military                                                         999           75267      584    15286       82    90553      666       31        0     3507       16    84381      119     1910        1      359        6      377       56      120      584      486    91219    91219
